key,T,C,A,CIEP
17,,apirase unialthi,will-be-offeredon-the-utensilaltaran-offeringas-libationsspilled-wineat-the-festival-ofthe-god-father-saturnofferedwill-beas-libationsspilled-winethe-altarthis-onehere,8682
19,,epni nunth,by-the-ownerthenoffer-herewith-threeshoutsincense-pieceson-the-altartheseonto-itwinehe-offersto-the-ancestral-fathershe-offersfor-the-ancestral-onesan-offeringas-a-libationthrice,8682
20,,rithnai snena nithusc,on-the-sacrificial-tablesome-oilon-the-altarhe-here-offerssomemilkand-into-the-graveof-thegod-calu-god-of-the-deadcalf-offeringsyou-are-burningincenseonthe-slaughter-altaryou-are-bringing-here,8682
23,,{e}furialchu,alwaysofferingon-the-offeringdayin-the-days-of-mayto-thegod-marson-the-offering-day,8682
26,,uzie(r),the-month-of-juneon-behalf-ofthe-ancestral-fathersoffering-heresixpigsthe-festival-of-the-godfather-saturnon-the-offeringdayto-be-slaughteredthe-heartsa-quintuple-of-victimsofferinghere,8682
27,,turza eschathce nisc,the-noblemagistratesfor-thefestival-priestsa-young-offeringofferingmr-velthurand-withhim-of-himthe-family-alsojustas-heas-a-giftincensethey-haveall-offered-on-the-smoking-altar,8682
29,,lachuth {r}lachth turzai(e)s,female-attendants-of-the-funeralcelebrationsspilled-wine-alsolaterspilled--honeyed--winethosetwocupstwocupstwocupslike-he-did-itand-hisfamilylike-he-did-itof-a-giftincense,8682
31,,stizai acasri lathiumiai zuslei,-one-of-honeythoseto-beofferedthe-funeral-priest-groupsmoking-offeringsthe-calfthe-,8682
33,,parthuni isvei tinunus sethumsal(th)c ilucu perpri tair,in-the-area-of-the-foreignersonthe-offering-dayalwaysofferingof-the-priest-of-the-god-jupiterand-at-the-festival-of-the-godfather-saturna-victimto-beslaughteredthe-underworlddwellers-prieststatelylibationsa-libation,8682
35,,natinusn(i)al ilucu ituna,herea-full-moon-sheepof-theentrails-guildas-an-offeringasimilar-oneat-of-the-craftsmensthe-headquartersherefourlibations,8682
36,,turza eschathce zale,a-quintuple-offeringofferingthefemale-paternal-relativeoffering-dayon-the-conducted,8682
37,,si,fl-------------------------------------------umaui-------------------------------------------nisersi,8682
40,---ch,,tal----------------------------------------------------------------------------------------twoasin-the-morninga-stately,8682
44,,m----------------------------------------------------------------------------------------------------------------l---------,m----------------------------------------------------------------------------------------------------------------l---------,8682
48,,ra-----------------------------------------------------------------------------------------------------------------thari--ie,ra-----------------------------------------------------------------------------------------------------------------thari--ie,8682
49,,nithi---------------------------------------------------------------------------------------------------------------p,nithi---------------------------------------------------------------------------------------------------------------p,8682
66,,zichun----,mthe-family-membersjust-ashe---------------------------------------------------------------------------------wrote,8682
67,,zichunce,,8682
1B,,zalus tantlnas,ofonemugthis-very-one,8686
1,mimunsal,,,8689
1,atana,,,8697
1,miculichnav------uravenells,,,8698
1,,kae(s),,8699
1B,eu,eu,,8702
1A,numetataiesmi,,,8716
1A,miputizapuri------,,,8725
1B,{upthnep},,,8726
1A,unciasncia,,youmr-ciacia,8735
1,------rzas,,,8749
1,------ilusces,,,8750
1,------ni,thani,,8767
1,------as,thanas,,8770
1,faipataravinumaia,,,8780
1,vesinas,,,8781
1,acvezthi,,,8782
1,cuvsinu,,,8811
1,ra,ra(mtha),,8817
1,,pe apas,myselfmr-tathavesthefathers-of-the-familycreated-didmr-laicansiiemr-nunies,8822
2,pe,,,8822
1A,senuta,,,8823
1A,amina----------s,,mr-aminamr-puplies,8827
1,------pnas,pupnas,,8828
1,ap------,ap(e),,8831
1A,acep,,acep,8834
1,perpnies,,mr-perpnies,8837
1,kane,,,8838
1B,th------calesias,,,8844
1,ni,n(umer)i,ms-numeri,8845
1,avelesfanpnas,,,8854
1,acev,,,8857
1A,pu,pu(mpu),mr-pumpu,8861
1,thenus,,mr-thenu,8874
1,thanesasestuminas,,,8877
1,,tular,that-boundaryof-a-boundary,8881
1C,thesan,,thegoddessthesan,8884
1D,menrva,,,8884
1B,miarathialezichuche,,,8885
1,cnthveiesmi,,,8889
1C,ariatha,,ariadne,8891
1A,kukne,,cycnoskingofliguria,8892
1B,fercle,,,8892
1,salthan,,,8894
3,ze,,,8895
1A,atm--te,,alcestis,8896
1B,alcestei,alcestei,alcestis,8896
1A,turms,,thegodmercury,8897
1C,apulu,,,8897
1A,erise,erise,mr-erise,8898
1,apalus,,,8899
1,peithe,,,8900
1,mitafinalaziavilianas,,imr-tafinasmrslaziavilismr-anas,8901
2,,ii,,8903
1A,ta,,mr-tafina,8917
1C,tafina,,mr-tafina,8917
1B,lurnillrtlavatlimifaste,faste,mrs-lurnimr-larissmr-larts-sons-wifemr-larts-sons-sons-wifemrsvatlimismr-fastes,8918
1A,uslepes,,mr-uslepes,8920
1D,setlans,,,8920
1,vultasi,,,8925
1,culcnasi,,,8926
1,,alpan vesias,,8927
1A,larisvrlsenas,,mr-larisvaralasenas,8932
1,miniflakunaievenel,,,8933
1,veluskaiknasarnthrusla,kaiknas,,8937
1,munata,munata(s),mr-munata,8939
2,zutastul,,the-colonistsboundaries,8939
4,tins,,god-jupiter,8939
1,,ta,thissarcophagusmr-marce,8945
2,------archarsk------,,,8948
3,cerichunce,cerichunce,,8949
1,lemiveneluszucenas,,,8955
1,,la{v}<u>ch<u>m<a>sa(s) mi,,8962
1A,achisun,,thesatyrseduction,8964
1B,fimaca,,thegeniusfimaca,8964
3,,arnkupfk mecests,,8967
1,umni,,,8980
1,liintinia,,mrs-lentinia,8981
2,tvrsila,tvrsila,tursila,8981
3,--asvi,,mr-iasuuss,8981
4,--axxxv,,,8981
1A,miniusilemuluvanice,,memr-usiledid-dedicate,8988
1,mipupaisthinakaranas,,,8989
1A,----pupaiaskalkanasthina,,imr-pupaiasof-mr-kalkanaa-big-roundgoblet,8990
1,miarantaial,,,8992
1,lri,,,8994
1,ranaza,,,8998
1,ch,,mr-chaes,9003
1,,eqvit(i)i,,9005
1I,uinias,,,9010
3E,uiniacathrnies,,of-the-wineof-mrcathrnie,9010
1,esle,,mr-esle,9017
1,na,n(um)a,,9022
1B,fa,f(asti)a,mr-fastia,9023
2B,nelas,,mr-nelas,9030
1,,secan mama,ithe-aeneadanmr-titeturnasthis-incisedheadof-a-gorgoneionagorgon,9072
1,,mi uinias,,9073
1,at,at(es),,9108
2A,,m(arcia)l,ms-marcis,9110
1,chch,,,9116
1,chchch,,,9117
4,--isatnial,,,9118
8,,t(e)nial,mr-arezulties-daughtershusband,9118
1,--------rukelarekenirit----u,aisasi etan turuke,,9121
1A,sualusmi,,,9123
1,akius,,,9125
1,achalu,,,9127
1,mitular,,,9128
1,percalinai,,,9135
1A,atrane,,,9143
1,larthmenznas,,,9154
2,venezesial,,,9155
2,arnttheal,,,9157
1,cii,,,9164
1,kap,kap(es),,9169
1,milarthia,,,9176
4,ep,,,9178
1,minicethumamimathumaramlisipithiplrenaietheeraisieepanavninvuunastavfelefu,c(a)e thuma mi,memr-caethumaito-mr-marcethumaramlie-,9179
2,,t(it)e thuma mi,,9179
1,minikaisiethannursiannatmulvanice,,,9180
1,,mi arnth(us) vestraes,imr-arnthvestraethehandsome-mans,9182
1,,}<mi> n(umas),,9183
2,dextrorsvmnsrrt,,,9183
3,sinistrorsvme,,,9183
4,dextrorsvms,,,9183
6,dextrorsvmp,,,9183
7,dextrorsvma,,,9183
8,sinistrorsvms,,,9183
1B,mive,,imr-little-little-vel,9185
3,acasa,acasa,,9188
1A,,xx,facevaluetwentyunitsortwodrachmas,9194
1,aisiufimiu,,,9196
1A,vatl,,,9197
1A,x--x,xx,facevaluetwentyunitsortwodrachmas,9200
1,,mi tharnies,imr-larthiatharniesmsuchulnidid-dedicate,9205
1A,milarthiatharnies,,imr-larthiatharnies,9205
1B,uchulnimulueuneke,,ms-uchulnidid-dedicate,9205
1,tupltia,,,9208
2,cainal,,mrs-cainis,9211
3,--theralavt,,freedgirlslavegirl,9211
3,vipinal,vipin(i)al,mrs-vipinis,9213
2H,l thupltha,thupltha(s),mr-thuplthas,9214
1,,felei(al),,9217
1,mimukisrapanai,,imr-mukiesmrsrapanais,9220
1,mispural,,,9221
1A,asth,asth,kill,9223
2,te,,,9224
3,kril,,,9224
1B,tusnutnie,,,9227
1,peithesa,,,9231
1,santase{t}thfath,,,9233
2,ecanthlaireul,ecanthlaireul,ecanthlaireul,9234
1,siimni,,,9238
1,,turms,,9239
1A,tarchis,,mr-tarchies,9240
1B,,mi aliethi f(astias),,9240
1,mi,,mi,9242
2,ekuthuthuautrechuvazelesulzirulethesuvapurtiisura,,,9242
1A,,tular spu(ral),boundariesof-the-townlawfuland-protected-under-the-divineprotection,9243
1A,visul,,,9244
1B,iu,,,9244
1,lcaiviasuthnrerec,caivia,mr-lariscaiviathe-equipmentof-the-tomb,9251
2,usvlisaecietiti,,for-ecu,9251
1,mimalenalarthiapurufenas,,,9253
1,,larthias,mr-larthialevesmrchaesmrs-velchainis,9255
1B,------nalu------,{------}nalu{------},mr-nalu,9255
1C,,resucusa,,9255
1,suthina,,,9257
2,vesis,,,9260
3,tnes,,mr-vesistnes,9260
1,trskmetr,,an-etruscanwine-jug-ofthe-standardised-capacity-of-litres,9261
1,misu--,,ithe-tombof-mr-larth,9262
2,luchum------,luchumus,the-king,9262
3,kem------,kemenelus,,9262
1,na,mi puin(i)el,iof-ms-,9264
1,,zilc mulvenice,,9265
2,,re(nines),,9265
1,nilarisf,,imr-laris,9267
2,frenvpznvi,,,9267
1,,velthur,,9270
1,,mi,ithe-representationtrueofthe-goddess-artemis,9274
1B,vatlmi,vatlmi,the-goddess-vatlmi,9275
1,,alpnas turce aiseras thuflthicla(s) trutvecie(s),,9276
2,alpa,,,9278
3,liuna,,,9279
4,emfepame,,,9279
1,mitiiurskathuniiasul,,,9286
4,as--------------asal,,as--------------asal,9290
1,,mi{ }ni mulvene{ }ke,,9295
1,,{s}l(autn)i,mr-kapemr-mukathesdaughters-husbandmrkapesslavegirl,9298
1,,vitecatha vivipin(i)al,,9303
2,,ac(na){s} priumnes charun,an-offspringof-priamthegodcharon,9309
1,thezi,thez(l)i(e),,9311
1,,thezl(i)e,,9312
1,velsu,,the-town-of-bolsena,9313
1,velznani,,,9314
1,ne,,the-unknown-town-the-name-ofwhich-was-abbreviated-on-thiscoin-evidently-as-eithernethvornethvorthvneorthvneorneovorenov,9317
1,metl,,,9318
1,vatlui,,,9320
1,vetlvntha,,,9321
1,vercnas,,,9322
2,naplan,,,9330
1,,ramutha,mr-ramutha,9337
1,vipies,,,9339
1,mispantisfulinas,,ithe-bossed-sacrificial-bowlof-mr-sethfulina,9342
1,,mi mulu velchainasi,,9343
1,velusna,,,9359
1A,cavina,,mr-cavina,9360
1,misataiiesaveleacasce,,,9363
1,,llasaial,,9371
1,,fulnei l(ar)th(us),,9373
1,fu----na,fuluna,,9375
1,miakassfekuntinas,di,,9380
2,sethre,sethre,,9382
1A,nachan--,nachanu,thephysicianmachaon,9388
1B,,feltuithe,theherotelephos,9388
1C,achmem------,,,9389
1,a z -- -- -- -- -- -- -- -- -- u s o f ch,,,9391
2,,turce,,9392
1A,larza,,mr-little-larth,9397
1B,larza,,for-mr-lucioscapros,9397
3A,catlial,,mrs-catlis,9397
3B,catlial,,,9397
1,ek------------,eknatna,,9402
1,,a{s}<n>f{l}e{lv},,9403
1,,xx,,9415
2,,nacna,,9416
1,,rutilni prnt(i)al,,9419
1,miracuthus,,,9427
1,erzeana,,,9433
2,--thurusvnes,velthurusvnes,of-the-family-of-mr-velthur,9436
2,flunatheu,flunatheu,flunatheu,9437
3,nachruaslat,nachruaslat,nachruaslat,9438
2,vetpz,,,9443
1,,arinas,,9445
1,,arinas larth(i)al papals,of-mr-lartharinamrs-larthisgrandsonmrs-larthisson,9446
1,misuthilarthialmuthikus,mi suthi larthial,,9449
1,,c(a)e,,9471
1,mikarkanaspanti,,,9473
1B,,e(cnatnas),mr-ecnatnas,9474
2A,,mi spanti nuzina(s),,9474
1,mitechas,,,9475
1,,mikarkanasthafvna,,9476
1,,mi mulu a(r)n(thu)si,ian-offeringfor-mr-arnthachmaka,9479
1D,m--akasi,mlakasi,,9479
1A,,atrane,mr-atrane,9482
1,ruvfiesacil,,,9483
1,precu,,,9486
1,velnumnal,,,9487
1,atranesi,,,9496
1,,venelus,ithe-tombof-mr-vel,9504
1,,mi suti,,9506
1,mifasenatatastulalus,,,9509
1,tefa,,mr-tefarie,9516
2,,ut,,9517
1,atranesi,,for-mr-atrane,9518
2,zinas,,,9522
1,cu--nal,,of-ms-cutni,9525
2,larthial,larthial,mrs-larthis,9525
1,scornia,,mrs-scornia,9527
3,vanxxxv,,he-livedfor-yearsfor-,9528
42,niki,,,9528
6,,qvattvorvir,priestmember-of-the-board-offour-men-empoweredthe-lawtospeak,9530
4,,iiv------l,of-,9531
1,leciniv,,mr-lecinius,9532
1,luvciai,,,9533
1,,nuni th(anasa) l(arisasas),ms-nunimr-thanas-sonswifemr-lariss-sons-sons-wife,9535
1,sveitu,,mr-sveitu,9538
1,ti------a,,,9541
1,,afie ithipe--,afieithipe--the-god-jupiter---------the-goddess-juno--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,9546
1,,a(reuizies),,9552
1,,purni,arcali,9621
1,keina,,,9656
1A,,fane l(auchume),mr-larthfanemr-avlesour-chieftain,9672
2,------lur------,,,9677
3,------znis------,larzni(e)sa{----},,9677
8,,larzni(e)sa{----},mr-larznies-daughters-husband,9677
3,l ch,l--------ch,,9678
4,,l{--------}(ar)ch(us),,9678
2,sautur,,,9699
2,acarial,,,9710
1,,larthi sasnati(alisa),,9711
1,milamila,,,9714
1,lsil,,,9715
1,viatorsi,viatorsi,,9717
1,a------r--------larnthial------am--,,,9722
1B,lapumpunute,,mr-larispumpumr-nutes,9724
1C,aseli------,,mr-auleselia,9724
2C,thstth------,,,9724
1,arnthpu--,,mr-arnth,9726
2,pufufl--,,pumpu,9726
1,fusla,,,9727
2,,th(an)a,mr-thanamrs-vipinismr-venunias,9727
1,,ai,,9808
1,minispuriazamuluvanikekuritianas,,,9815
1,mizinakularthuzialekuleniiesi,kuleniiesi,,9818
1,,larza arnth(i)alisa,,9820
1,misukerus,,imr-sukerus,9822
1,------etanturuce,,,9827
1,--ilarthia--------------,,,9834
1,unial,,,9835
2,------axome,,,9836
1,avulnas,,,9840
1,furthus,,,9841
1,milauciesmezenties,,,9844
1,aulepulfnaperis,,,9846
1A,avilesca,,mr-avilesthis,9850
1,su,su(thina),,9852
1,suthin,suthin(a),,9857
1,psn,p(e)sn(as),,9876
1,vth,,,9877
1,tsm--,,,9878
1B,chch,,mr-chaemr-chaes,9880
1A,,ch(ae),mr-chae,9885
1,,tular (a)pa(s),,9886
1A,vesthle,,mr-vesthle,9888
1,scana,,,9889
1,mivelthuruskanaius,,imr-velthurkunaius,9893
1,,ceicnai(al),,9897
1,kreniasi,,,9903
1,f s r s ch,,,9904
1,,thania cincunia l(a)ch(us),,9908
2,caprasis,,,9913
1B,,th(a)n(a) veanei(al) prechus,,9914
2,veltri,,mr-velusveltriusmr-marcuss,9915
1B,,ch(amars)i(al),,9918
1,,fuflun(u)zi,,9929
1,merta,,,9940
2,cvinai,cvinai(al),,9946
1,mavle,,mr-marcemr-avle,9948
1,ranthumac,,,9949
1,,sveitu,mr-sveitu,9952
1B,achule,,theheroakhilleus,9953
1,appiu,appiu,mr-appiu,9956
1,thnaia,,mr-thania,9957
2,ce,ce,,9957
1,kailes,,,9963
1,te,t(it)e,,9968
1,uch,uch(us),,9969
1,ra,ra(mthas),,9977
1,uv,,,9993
1,ti,t(it)i,,9996
1A,ti,t(it)i,mrs-titi,9998
1,milarthasarsinaia,,,10001
1,,artumesial,,10006
1,,turce murila fercnas,mr-cnevegave--murilamrfercnas--,10007
1,creice,,,10008
1,enrtates,,,10009
1,tretnai,,,10010
1,achpprirutilefilucrates,,,10017
1C,my,,,10018
2,,a--------p,,10018
1,sethilans,,,10034
1E,letham,,thegodfathersaturn,10041
1,aczt,,,10059
1,,n(u),,10093
1A,urin,,,10120
1,rth,r(am)th(as),,10134
1,fla,fla(ve),,10139
1,,m(etelies),mr-marcemr-velmetelies,10155
1,mivelelthuskacrifunumesiesiputeskraitilesthisputes,,,10159
1A,inensirkraesrtr,,inensirkraesrir,10160
1B,skrvre,skrvre,,10160
1A,minianthaiavminivertun,,memr-anthaiamolded-fromclaymehe-molded-from-clay,10161
1C,,mi apirthe mlach,,10161
11,mpmulukaviiesi,,,10162
12,mp,,i-myself,10162
1,------naszinac------,,,10163
1A,mnie,,me,10174
1,tiniia,,,10177
1,larcnas,,,10186
1A,pultuke,,thegodpollux,10199
1B,amuke,,amykos,10199
1C,kastur,,,10199
1,evru,,,10200
1A,velparun,,,10201
1A,tretu,,vulcansassistantthegodtretu,10202
1C,sethlans,,,10202
1B,,malavis,thegoddessreflectionofbeauty,10207
1C,arpumes,,thegoddessdiana,10207
1,thun,,,10224
1,ar,ar(rvns),,10226
1,pa,,,10235
1A,ch,ch(ae),mr-chae,10237
1,ce,c(a)e,,10241
1,ve--a,,,10242
1,ka,ka(e),,10243
1B,,p(uplie),,10245
1,ppn,,,10251
1,lvr,,,10253
1,su,su(plne),,10255
1,lu,,,10257
1,zui,,,10260
1B,vs,v(elthuru)s,,10271
1A,ta,,this-thing,10293
1B,zalzelriniie,,,10296
1,mu------,muna,,10298
1B,,n(umerie),mr-numerie,10301
1,vthe,v(el)th(ur)e,,10303
1,,acevzfthiklmnpsrstufch,,10308
1A,paithe,,mr-paithe,10310
1A,an,,this-thing,10325
1B,lra,,,10325
1,ufi,,,10327
1B,fl,f(u)l(u),,10329
1,ifu,,,10332
1C,mituruns,,ithe-god-mercurys,10339
1,lr,l(a)r(is),,10346
1,kuru,,,10353
1B,az,a(ul)z(a),,10366
1,ff,,,10377
1,vinun,,,10390
1B,ath,a(rn)th,mr-arnth,10393
1B,,ch(aesa),,10398
1C,nethuns,nethun(u)s,,10399
1,,cu(runas),,10403
1,spu,spu(rina),,10408
1,ataiun,,,10409
1P,nunavasieitiarisviaiavineiaiavipiairase,,,10417
1A,miarathia{niezt}zacies,,imr-arathiazacies,10418
1,cruties,,,10419
1A,cruties,,mr-cruties,10421
1A,munthch,,themaenadattractiveness,10423
1B,malavisch,,thegoddessreflectionofbeauty,10423
1,eieirie,,,10424
1A,amuce,,amykos,10425
1B,menrva,,thegoddessminerva,10425
1C,atuns,,thegodadonis,10425
1D,turan,,thegoddessvenus,10425
1,,f(astia),,10426
1,la,,,10427
1,,mi,imr-velveliasmr-fastiavasianas,10441
1B,miavilesfusunas,,,10442
1A,mivefartiianaia,,,10443
1B,miramathas,,,10443
1,fatnies,,,10445
1B,aplu,aplu,thegodapollo,10446
1,ethavaithizusuzailimunaatiuthnath,,forthe-god-karaie,10447
1,sp-------------------s,,,10449
1A,miuna--,,,10454
1A,thina,,a-big-round-goblet,10465
1,miutres,,,10467
1B,,k(ae),mr-kae,10484
1A,chelfun,,thesatyrmischievousness,10496
1B,munthuch,,,10496
1C,nercle,,,10497
1,tames,,,10502
1,serturiesi,,,10511
1A,,thania cainiei ar(n)th,mr-thania,10513
1,umene,,,10521
1,,s(ethra),mr-sethra,10522
1,apas,,the-fathers,10535
1A,ta,ta,mr-tana,10548
1B,ta,ta,,10548
1,larna,,,10553
1,umucesthafna,,,10556
1,uchus,,,10557
1,,ferin(a)s,,10559
1,tiniacalusna,,,10560
1,sra,s(a)ra,,10562
1,,la,mr-larth,10581
1,caia,,mr-caia,10590
1,minemulvunukelarisnumenas,,,10592
1,,n(umena),,10606
1A,ai,a(rnth)i,ms-arnthi,10612
1A,,t(usn)u,,10614
1,,z(ilath),,10626
1,ruzus,,,10648
1,faltui,,,10649
1,altui,,,10652
1,arnphth,,,10653
1,ezifuileca,,,10654
1,fthiklmn,,,10658
1,thasesi,,,10660
1,ze,ze(rapiu),,10667
1,xv,vt,,10668
1,,vuuv,,10670
1B,saru,,mr-saru,10677
1B,tuntle,tuntle,tyndarus,10680
1C,i--------c--eithurnealsuthina,,,10680
1,ceithurnealsuthina,,,10683
1,------thina,suthina,,10686
1,mianies,,,10687
1D,alpan,alpan,,10688
1,raikas,,,10697
1,zerina,,,10719
2,mlabri,,mr-marcuslabriuss,10719
1A,talmithe,,palamedes,10721
1A,turmus,,thegodmercury,10724
1B,aefe,,ring-bearer,10725
1,suthinalarcnas,,,10726
1A,thanr,,oneofthedivinecompanionsofthegoddessthansuri,10727
1A,lapi,,of-mr-lapius,10733
1B,lapie,lapie,,10733
2,miatlmeiermiatialereerusmie,,,10734
22,r mi a i a l r,,,10734
23,r u s mi r,,,10734
3,miatlmeiermiatialereerusmiere,,,10734
1,zc,,,10735
1,l--m--,,,10736
1,cicapcut,,,10757
1,tichl,tich(ia)l,,10759
1,aurunu,,,10760
1,sutna,,,10762
1,echtural,echtur(i)al,,10764
1,tla,t(a)la,,10766
1,,acevzfthilmnpsrstufch,,10767
1,vipa patna velsnalthi,,,10768
1,--------------anies,,,10771
1,------niez,cazlaniez,,10774
1A,av,,mr-avle,10799
1,,splatura,,10812
1B,,la(rcth)i,ms-larcthi,10813
1,,v(ip)i,,10815
1,larisalfavreniessuthina,,,10819
1A,,favrenies suthina,something-for-the-afterlifeofms-larisimr-favrenies,10830
1A,,thanias ceine(i)al suthina,,10838
11,achele,,theheroakhilleus,10842
1B,cacu,,cacutheseer,10854
1,thanialucinisuthina,,,10855
1A,th----a--nialucinisuthina,suthina,mr-thaniamrs-lucinissomething-for-theafterlife,10857
1B,suthina,suthina,something-for-the-afterlife,10857
1B,,luvcin(i)al,,10858
1B,,truil(e),troilus,10862
1B,aminth,,theboygodamorgodoflove,10863
1,selvanzlenizpetla,,,10870
1A,,ra(mtha),under-divine-protection,10871
1B,ar,,mr-arnth,10871
1A,calaina,,thenereidgalene,10872
1A,svutaf,,thegoddesireforthegodbacchus,10873
1B,vesuna,,thegoddesslibera,10873
1C,fufluni,,thegodbacchus,10873
1D,frcle,f(e)rcle,,10873
1B,vilpnu,,thegoddessharmony,10875
1D,tlrms,t{l}<u>rms,,10875
1,atial,,,10886
1C,marsfercles,,,10894
1A,utuse,,theheroulysses,10895
1B,zimite,,,10895
1B,telmun,,,10896
1,talnithe,,,10898
2B,ath,a(rn)th,,10899
1A,lapie,lapie,mr-lapie,10900
1B,lapi,lapi(vs),,10900
1,acevzthikl,,,10901
2,nestra,nestra,,10902
1B,cacu,cacu,mr-cacu,10908
1,fethna,,,10911
1A,archaze,,theheroarcas,10913
1B,alpnu,,thegoddessharmony,10913
1C,fanu,,phaon,10913
1E,euturpa,,,10913
1,velthurus,,mr-velthurs,10915
2,fupnii,,,10915
1B,telfe,,telephos,10917
1,isfu,,,10921
1,iresatice,,,10927
1,,veneles,,10931
1B,,ac(ilu),mr-acilu,10935
1D,menle,,,10939
2A,)--rntharthnl,,,10941
2,larthisas,,,10945
1,lvlvllvtoi,,,10949
2,lvlvllvtii,,,10949
1,icalusnal,,the-mothersmrscalusnis,10953
2,cicuc,cicuc,,10953
1,fti,f(e)ti,,10960
1,zimarus,,,10979
1,rav,rav(nthu),,10982
1,putinas,,,10990
1,kape,,,10991
1A,caiau,,mrs-caimr-aule,10993
1B,ukui,,,10993
1,asu,,,10995
1,vipiaa--lsinasturce,,,11002
2,persenascalia,,mr-versenasmscaithis,11002
2B,charu,charu,,11003
1A,ataiun,,actaeon,11004
1,specas,,,11008
1,ru,ru(fe),,11010
1,chalchas,,,11019
1A,uthuze,,theheroulysses,11020
1,achleitruiestthesthufarce,,,11021
1B,,musai,a-muse,11025
1C,thesan,thesan,,11025
2,,larcesa(s),,11029
1B,fuipa,,,11032
1,,muras arnth(us),,11033
1,si,si(na),,11047
1,fe,fe(l),,11048
1A,mimulveneceputeresciaruthiach,aruthiach,i--did-make--ms-puteresciofthe-hamlet-of-aruthia,11058
1,milaruslanathes,,imr-larthvelthurusslavesmr-nathes,11065
1,ceistalus,,,11070
1D,,{l}<u>thste,,11071
1,marutl,marut(ia)l,,11077
1A,zs,z(imna)s,of-mr-zimna,11080
1B,,apu,,11080
1,lanenispupena,,,11082
1D,iiiiiiiii,,,11083
1B,prumathe,,thedemigodprometheus,11084
1C,calanice,,,11084
1,cutnas,,,11091
1,lapnas,,,11092
1A,utiisi,utiisi,for-ms-utii,11093
1A,lu,lu(vce),mr-luvce,11094
1,,apur(th),,11099
1,lurs,,,11106
1A,nathum,,thedemonnathum,11109
1B,urusthe,,orestes,11109
1D,feiasun,,,11109
2,evlclthl,,,11110
1A,lasna,,angeloftheafterlife,11113
1B,lasna,,,11113
1F,lalan,laran,,11114
1A,thu,,one,11115
1B,zal,,two,11115
1C,ci,,three,11115
1A,thu,thu,one,11116
1B,zal,zal,two,11116
1C,,ci,three,11116
1F,sa,sa,,11116
1A,tuntles,,tyndarus,11117
1C,,enuna,thenymphoinone,11118
1D,,a{p}<t>re,,11118
1B,ecapa,,hecuba,11119
1E,echtur,,,11119
1,nuni,,,11124
2,,mulu,,11129
1A,lenaiia,,mr-lenaiia,11132
1,kapemukathesa,,,11147
1A,ariz,,,11154
1,trufu av,,mr-trufuniemr-pethunusmr-velsslave,11155
2,llrmic cver,l(a)l(a)rmic,,11155
11,fefmasuveitesalevarvaravapeisnislarekasialse--emal,,mr-felfamasumr-veites,11156
13,--uthikemaluvekavisvazilizichinaeinsu--ufas,suthike kavi(e)s vazili(al),,11156
1,minilarekes,,,11164
1,caiau,,,11169
1,fiuls,,,11171
1,fch,f(elca)ch,,11174
1A,elacsantre,,alexander,11177
1D,menarva,,thegoddessminerva,11177
1,nethunus,,,11180
1A,achl--,,theheroakhilleus,11183
1A,elinpi,,,11185
1,acnaine,,,11187
1C,flerthrce,,,11188
3B,elinai,elinai,helena,11189
1A,uprius,,thesungodhyperion,11190
1A,amfiare,,amphiaraos,11191
1C,atrste,,,11191
1A,merva,merva,thegoddessminerva,11192
1B,,(ve)lclthi,,11193
1,,p(etruial),,11194
1,,sp(uriesc) v(eliasc),,11195
1,miapas,,,11224
1,zarmaies,,,11225
1,pult----es,,,11230
1,minimuluvanicepianavelethnice,,,11233
1,milarthialemelacinasimulu,,,11234
1,lethim,,,11235
1A,ut,,,11241
1,mipaparnies,,,11255
1B,eeevee,,,11257
1,minemuluveneavileacvilnas,,,11258
1,,avele,,11265
1,staties,,,11266
1,statiesi,,,11267
1,,statiest,,11268
1,s--aties,staties,,11271
1,fl,f(astia)l,,11288
1,nurzi,,,11289
1,spurinas,,,11290
1,,n(a)chu,,11311
1,------chinep------,,,11319
1,vuli,,,11336
1,thatl,,,11339
1A,uru,,mr-uru,11342
1A,atrane,,mr-atrane,11359
1,pultucesi,,,11373
1B,,p(etru),mr-petru,11381
1B,au,,mr-aule,11383
1B,at,,mr-aulemr-tanas,11385
1,ll,,,11390
1A,tarsu,,beheaded-victim-of-the-heroperseus-beloved-of-the-townof-tarsos,11419
1C,turms,,,11419
1A,feflenta,,hippolyta,11420
1,cathesan,,,11421
1B,elinei,,helena,11422
1D,laran,,,11422
3,,vu,vu,11424
1,,n(umerie),,11425
1,atranes,,,11428
1B,af,,mr-afuna,11458
1,pelfrs,pelfr(a)s,,11460
1,na,na(na),,11478
1A,fe,,mr-fastiamr-ecnatnas,11494
1,pu,pu(plie),,11505
1,ze,ze(th),,11513
1,vipinaial,,,11516
1,miniainie,,,11520
1,venete,,,11527
1A,zimuthe,,theherodiomedes,11529
1B,zinthrepus,,thedivinegeniusoftheangeloftheafterlifezinthrepu,11529
1A,rescial,,thedivinegeniusoftheangeloftheafterliferesci,11530
1B,metvia,,medea,11530
1C,feasun,,jason,11530
1,pui,,,11536
1,li,,ms-larthi,11542
1,uzinas,,,11544
1,ni,n(umer)i,,11548
1,aiser,,,11559
1,as,,mr-aules,11563
1,,ta(n)ia,,11574
