,ID,City,Year - From,Year - To,Etruscan,Translation,key
5004,15896,,,,di,itsmenitsheadsofcattleitscropsblessbegenerouslypropitiousinyourpeacetothecitadelofthetempleofthegodfisostothestateofgubbiotothecitadelsracetothestatesraceogodjupiter,326
5005,15896,,,,fisier,inthetempleofthegodgrabovupreservethecitadelofthetempleofthegodfisossafepreservethestateofgubbiosafeogodjupiterinthetempleofthegodgrabovupreservethesafetyofthecitadelofthetempleofthegodfisos,327
5006,15896,,,,totaper,tothestateofgubbiotothecitadelsracetothestatesraceogodjupiterinthetempleofthegodgrabovuyouwiththisheadofcattleinathirdrichsacrificialritualonbehalfofthecitadelofthetempleofthegodfisosonbehalfofthestate,329
5007,15896,,,,di tiom tases,onbehalfofthecitadelofthetempleofthegodfisosonbehalfofthestateofgubbioonbehalfofthecitadelsraceonbehalfofthestatesraceogodjupiterinthetempleofthegodgrabovuyouiinvokeinsilencebethemanpraying,331
5008,15896,,,,sevom pvrdovitv proseseto naratv,fortheentiretimealsoofferforththeslicesnarratetothechoicemeatcutsthesaltedpancakesthebasketoffoodaddcropsmake-sacrificethat,332
5009,15896,,,,treblanir prosesetir strvshla ficla,withmeadmake-sacrificeinsilencebethemanprayingalsonarrateasinfrontofthegatetotrebulatothechoicemeatcutsthefleecethebasketoffoodadd,335
5010,15896,,,,mandraclo difve destre,alsonarrateasinfrontofthegatetotrebulainsilencebethemanprayingholdasplithandtowelinhisrighthandtothechoicemeatcutsthebasketoffood,339
5013,15896,,,,pase,ofthecitadelofthetempleofthegodfisosthestateofgubbiosraceitspatriciansitsritualsitsmenitsheadsofcattleitscropspreservesafebegenerouslypropitiousinthepeace,348
5014,15896,,,,conegos,middlepouralibationdancewhenhehasofferedforththatlibationofthechoicemeatcutsthepureonegivethenfromtheplateofthefirstfruitsthepureoneonkneekneeling,351
5015,15896,,,,svbra spahmv serse comoltv comatir,givetheenthelibationthefirstfruitspurifybyfireputthemonitthensittinggrindituptogetherforthegrindingsbethemanpraying,352
5016,15896,,,,herie arvio tases,orwithmeadmake-sacrificecropsmake-sacrificeinsilencebethemanprayingtothechoicemeatcutsthesaltedpancakesthebasketoffoodaddalsonarrateasinfrontofthegate,355
5017,15896,,,,treblanir,totrebula,356
5018,15896,,,,pescler vasetomest pesetomest,ifanythingofyoursacrificehasbeenspoileditisasinitissomethingknownofitisfraudulentithasbeenneglectedofyoursacrificesomethingseensomethingunseenhasspoiled,365
5019,15896,,,,arvio tases,make-sacrificewithmeadmake-sacrificecropsmake-sacrificeinsilencebethemanprayingtothechoicemeatcutsthecorncakesthebasketoffoodaddalsonarrateasatthegatetotrebula,379
5020,15896,,,,pihos esome esono,willhavebeenpurifiedifthereisalongtimebetweenthesesacrificesitwillhavebeenbroughtintospoilagebirdsobservetothegatetotrebulareturnrecommencingthesacrificemake-sacrifice,382
5021,15896,,,,anovihimv destrame,watchoverwhensongbirdshehasannouncedbeeqippedwithyourritualwandgirtofgowntakeupletitbedrapedonyourrightshoulderbladeputitonthefirewhen,384
5023,15896,,,,habiest etvrstahmv eso,hehasarrivedattheexitsthenstandattheborderhewhowillholdtheritualwandhebanishesthemhebanishestheminthiswayanyonewhoisofthestate,388
5024,15896,,,,stahitv deitv arsmahamo caterahamo iovinvr prinvatir,standthensayorganisearrangemenofgubbiothentogetherwithyourofficerswalktotherichsacrificeswhentheyhavewalked,391
5025,15896,,,,sherfer,havearrivedattheborderatthebordertogetherwithhisofficersinthiswaybethemenprayinginsilenceogodcervosinthetempleofthegodmarsogoddessprestotainthetempleofthegodcervosoofthegodcervos,392
5026,15896,,,,totar tarsinater trifor tarsinater tvscer,thestateoftadinassthetribeoftadinasstheetruscannerariversthejapudicracespatricianswiththeirgownsgirtspeciallyandgirtunspeciallytheyoungmenarmedwithspears,394
5027,15896,,,,termnome,saydepartmenofgubbiohewhowillholdtheritualwandwhenhehassaidthattheylikewisewalkagainwhentotheborder,398
5028,15896,,,,deitv enom tertim,therehasbeenareturninthesamewaybethemenprayinginthesamewaysaysatthattheygothenforthirdtimewalktoitwhenhehasarrivedattheborder,399
5029,15896,,,,benvso,onwhichitwasstarted,402
5030,15896,,,,tases prosesetir spefa ficla,ofgubbioentrailsondishmake-sacrificewithmeadmake-sacrificecropsmake-sacrificeinsilencebethemanprayingtothechoicemeatcutsthesaltedpancakesthebasketoffoodadd,404
5031,15896,,,,sherfie,tothechoicemeatcutsthefleecethebasketoffoodaddwhenhasputthescarvesbacktheninprayerinthepostureofasupplicantpourwineinofferingtothegoddessprestotainthetempleofthegodcervos,408
5032,15896,,,,prestota,ofthegodcervosinthetempleofthegodmarsonbehalfofthepeopleofgubbioonbehalfofthestateofgubbiothenontheblackvesselsinthepostureofasupplicantbethemanprayingogoddessprestota,409
5033,15896,,,,tarsinate,onbehalfofthestatesraceogoddessprestotainthetempleofthegodcervos---ofthegodcervosinthetempleofthegodmarsturneviloneveryroadtowardsthestateoftadinasthetribeoftadinas,411
5034,15896,,,,nomner,theetruscannerariversthejapudicracesthestateoftadinassthetribeoftadinasstheetruscannerariversthejapudicraces,412
5035,15896,,,,iovies,propitiousinyourpeacetothepeopleofthestateofgubbiotothestateofgubbiototheirracetoitsracetoitspatricianswiththeirgownsgirtspeciallyandgirtunspeciallytoitsyoungmen,414
5036,15896,,,,hostatir anostatir prestota sherfia sherfer,armedwithspearsnonarmedwithspearsogoddessprestotainthetempleofthegodcervosofthegodcervosinthetempleofthegodmarspreservethepeopleofthestateofgubbiosafepreservesafe,415
5037,15896,,,,iiovinar,raceitspatriciansitsritualsitsmenitsheadsofcattleitscropspreservesafebegenerouslypropitiousinyourpeacetothepeopleofthestateofgubbio,417
5038,15896,,,,poplvper,tothestateofgubbiotothepeoplesracetothestatesraceogoddessprestotainthetempleofthegodcervosthegodcervosinthetempleofthegodmarssyoubytheselittleblackvesselsonbehalfofthepeople,418
5039,15896,,,,tiom,ofthestateofgubbioonbehalfofthestateofgubbioonbehalfofthepeoplesraceonbehalfofthestatesraceogoddessprestotainthetempleofthegodcervosofthegodcervosinthetempleofthegodmarsyou,419
5040,15896,,,,deitv,iinvoketothegoddessprestotainthetempleofthegodcervosofthegodcervosinthetempleofthegodmarsinthefaithofafavouringoneyouiinvokethenintheprayerspeakasfollows,420
5042,15896,,,,persclv vesticatv sherfie sherfer,intheprayerpourwineinofferingtothegoddessprestotainthetempleofthegodcervosofthegodcervosinthetempleofthegodmarsonbehalfofthepeopleofgubbioonbehalfofthestateofgubbiothenforthelittlevessels,424
5043,15896,,,,tiom,whitebethemanprayingputthemacrossontopoftheblackonesinthiswaybethemanprayingogoddessprestotainthetempleofthegodcervosofthegodcervosinthetempleofthegodmarsyou,425
5044,15896,,,,iovinar,inthetempleofthegodcervosofthegodcervosinthetempleofthegodmarsavertoneverypatheviltothepeopleofthestateofgubbiotothestateofgubbioofthepeopleofthestateofgubbio,427
5045,15896,,,,prestota,safepreservebegenerouslypropitiousinyourpeacetothepeopleofthestateofgubbiotothestateofgubbiotothepeoplesracetothestatesraceogoddessprestota,431
5046,15896,,,,foner frite tiom enom vesticatv ahatripvrsatv,iinvoketothegoddessprestotainthetempleofthegodcervosofthegodcervosinthetempleofthegodmarsinthefaithofafavouringoneyouiinvokethenpourwineinofferingdance,436
5047,15896,,,,efvrfatv,narrateasbehindthegatetotesenumofthefirstfruitsthepureonegivethenthefirstfruitsthesaltedpancakesbyfirepurify,438
5048,15896,,,,sahata comoltv comatir,throwthemontopacrossthesanctifedbordergowhenacrossthesacredborderhehasreturnedthengrindituptogetherforthegrindingsbethemanprayingthenannygoats,439
5049,15896,,,,martier poplvper totar iiovinar totaper iiovina,acrossthesanctifedbordercalvesthreemake-sacrificetothegoddesstorrainthetempleofthegodcervosofthegodcervosinthetempleofthegodmarsonbehalfofthepeopleofgubbioonbehalfofthestateofgubbioonthegroundstretchedoutmake-sacrificewithmead,441
5050,15896,,,,arvio tases prosesetir,make-sacrificecropsmake-sacrificeinsilencebethemanprayingtothechoicemeatcutsthefleecethebasketoffoodaddalsonarrateasatthegatetotrebulawhen,442
5051,15896,,,,iapvscer nomner nerf sihitv ansihitv iovie,oftadinassthetribeoftadinasstheetruscannerariverracesthejapudicracespatricianswiththeirgownsgirtspeciallyandgirtunspeciallyyoungmenarmedwithspearsnonarmedwithspears,448
5053,15897,,,,kanutalarecenaslaute,mrs-kanutismr-arecenas,1A
5054,15897,,,,nithaaranthiapiniespuiaturuce,,1B
5055,15897,,,,tluschvalmarvethulfaliath,of-all-theseof-our-ancestorsof-bases-and-columns,1C
5056,15903,,,,--------------sa,mr-larthetruscamr-arnthsdaughters-husband,1
5060,15910,,,,--------------------------etrasa,,029
5061,15910,,,,------------------------tithur,----------------------things-displayed,031
5062,15910,,,,-------------nc----------------,,072
5063,15910,,,,----------------------cilths,,073
5069,15910,,,,--------spurerimethlumericenas,,175
5070,15910,,,,mutince-ezineruzenuzlchnecspure-i -},,187
5072,15910,,,,sacniclericilthlspurerimethlumeri,,231
5073,15910,,,,citzvaclnunthenthesantinsthesan,,238
5074,15910,,,,faviticfaseicisumthesaneuslanec,,240
5075,15910,,,,cilthlspuralmethlumescenasclathesan,,242
5077,15910,,,,insacnicla,,277
5078,15910,,,,thezeri,,281
5079,15910,,,,thunsnathunsflers,of-the-best-of-the-first-devotional-statues-,283
5080,15910,,,,eslemzathrumisacaletinsinmarle,on-the-second---the--------june-for-for-the-god-ten-men-in-the-,286
5081,15910,,,,feciaaisnaclevanthchimenacusil,,328
5084,15910,,,,caperizamthicvaclarflererisacnisa,,381
5086,15910,,,,-----------------lefuslnests,,400
5087,15910,,,,----------------lunmlach-nunthen,,401
5088,15910,,,,-----------------------------tinsi,,404
5089,15910,,,,flerthezincesa-nicstrescilth-,,419
5090,15910,,,,spurestresenasethr-etinsitiur-m,,420
5091,15910,,,,repinecsacniclericilthlspurer-,,422
5092,15910,,,,lecininzecflerthezinc--acnicstres,,426
5093,15910,,,,cilthsspurestresenas--rsetinsi,,427
5094,15910,,,,----------------------acnic-----,,443
5096,15910,,,,---------------------iclericilthl,,446
5098,15910,,,,-uepethereniciemcealchuzcapeni,,469
5099,15910,,,,thuechurveacilfamfes-laessulusi,,473
5100,15910,,,,thuniserfueacilipeithutacnlchasri,,474
5101,15910,,,,muenci-------------------------,,493
5103,15910,,,,slapinasfavinuflispurtneisnafinthu,,524
5104,15910,,,,cntnamthesanflerveivesthezeri,,532
5105,15910,,,,thanal------------cntnamthesan,,537
5106,15910,,,,stretasatrsenasthucufamfethesrinus,,550
5107,15910,,,,fursiccaplthucechamenaceisnafinthu,,571
5108,15910,,,,thunemcialchusmasnunialtiursmnal,,574
5129,15911,,,,cusual,mr-aulemrssalinis-daughtershusband,33B
5134,15913,,,,arnurnlzla,mr-arnthurnumr-larths,1
5137,15922,,,,lethialautnithaarnthial,,1
5138,15925,,,,--astlac----,,3
5139,15926,,,,arnthnal,,1
5140,15931,,,,th--------------tetinpi,,1
5142,15940,,,,{arnuauete},,1
5143,15943,,,,----tesvesis,mr-laris,1
5145,15950,,,,auletluties,,1
5151,15966,,,,pusu,,1
5153,15971,,,,patislani,,1
5154,15976,,,,ramtha,,1
5156,15989,,,,pinthu,,1
5157,15995,,,,thania fipinei(al) tutnasa,,1
5159,15999,,,,sivai,,06
5161,16003,,,,mizraies,,1A
5162,16004,,,,zraies,,1
5163,16016,,,,apl----,,1
5165,16018,,,,arnthkaprussax------,mr-arnthof-goatsof-tendid-supervise,3
5166,16018,,,,fekkelarisalx------,did-paintmr-larisalsinafor-the-sonof-mr-petru,4
5167,16018,,,,eklalthrestasx------,,5
5168,16019,,,,tins,for-the-god-jupiter,1
5171,16030,,,,un----------,,1
5172,16031,,,,----------ni,,1
5173,16039,,,,artnas,,1
5176,16058,,,,pumpui,mrspumpui,1B
5177,16071,,,,cnevna,mr-cnevna,1
5178,16071,,,,sethre,sethre,2
5179,16071,,,,satna,,3
5180,16072,,,,itatinaia--,,1
5181,16096,,,,----vs,,1
5183,16105,,,,thu,,1
5185,16108,,,,vestar--------,,1
5187,16114,,,,larz,,1
5188,16115,,,,naiie,,1
5189,16117,,,,esle,,1B
5190,16118,,,,cevi,,1
5192,16121,,,,talisnai,,2
5193,16123,,,,cutnei,,2
5196,16137,,,,--------anthialchurchu,ims-aranthis,1
5197,16137,,,,sm----------,mr-churchus,2
5198,16137,,,,nisauchulin------,,3
5200,16139,,,,mivene,,1A
5201,16139,,,,uspleras,mr-venel,1B
5202,16140,,,,mi------------thece,imr-arnth,1
5203,16142,,,,miven,,1A
5205,16147,,,,patlnal,,1
5206,16149,,,,afates,of-mr-afate,1B
5207,16149,,,,tretneal,,2B
5208,16150,,,,larthalp,ms-larthisp,03
5209,16150,,,,lenetm,lenetm,10
5210,16150,,,,thchplfslpthlam,thchplfslpthlam,14
5211,16150,,,,selieifcle,selieifcle,25
5213,16150,,,,renethichfulum,renethichfulufor-mrmarce,34
5214,16152,,,,satiesi,,1
5215,16153,,,,artamasal,,1
5217,16155,,,,achui,mrs-achuis,2
5218,16155,,,,naries,,3
5219,16156,,,,tlesna papasa,,1
5220,16157,,,,papanias,mr-papanias,2
5221,16158,,,,versipinaia,,1
5222,16159,,,,marisl,,1
5223,16160,,,,milarthiia,imr-larthiias,1A
5224,16160,,,,xachax,,1B
5225,16165,,,,hastiahampnea,,1
5226,16169,,,,ltruce,mr-veltruces,2
5231,16184,,,,curiunas,,1
5232,16184,,,,cretnal,,2
5234,16184,,,,----mtha,,3
5236,16187,,,,--------ne(s),,2
5238,16209,,,,sv,,1
5239,16211,,,,tatve,,1
5240,16214,,,,ps,pesnas,1A
5241,16216,,,,------ch,------ch,2A
5242,16216,,,,------na------,------na------,2B
5243,16216,,,,------an------,------an------,5B
5244,16216,,,,------chx------,------chx------,7A
5245,16216,,,,------th--xc------,------th--xc------,7B
5246,16217,,,,------rme------,,1A
5248,16222,,,,kainu----,of-marzabotto,1A
5249,16222,,,,spural,,1B
5250,16225,,,,lauchume,,1B
5251,16232,,,,puxpu,,1B
5252,16235,,,,------iz,mr-caie,1
5253,16235,,,,feluz,,2
5254,16238,,,,pi,,1B
5256,16242,,,,zichu,,1B
5257,16243,,,,sipinaial,,1
5258,16245,,,,al,,1
5260,16249,,,,aa,mr-aulesthe-fathers-of-the-,1A
5261,16249,,,,aa,,1C
5264,16262,,,,xi,,1
5265,16266,,,,ch,,1
5267,16275,,,,ch,,1A
5269,16292,,,,iiiiii--,iiiiiii,1A
5270,16292,,,,iiiiiii,,1B
5271,16296,,,,mimanilesthavfanaeiminipica----,,1
5272,16302,,,,rechlu,,2
5273,16303,,,,alnei,,1
5274,16305,,,,seimes,,2
5275,16306,,,,rpethna--,mr-ramthamr-pethnas,1
5276,16309,,,,ecui,,3
5277,16310,,,,sethanal,mr-sethanas,2A
5279,16325,,,,li,,2
5280,16326,,,,lartcani,,1
5281,16332,,,,--------ecaupn--------na--,,1
5284,16367,,,,marunas,,1
5285,16369,,,,ramt--,,1
5286,16370,,,,ramta,,1
5287,16371,,,,----snui,,1
5288,16374,,,,--etu,,1
5289,16375,,,,zipie,,1
5292,16380,,,,flar,,1C
5294,16396,,,,n--n,mr-nun,0
5296,16402,,,,------a--ithm------,mr-caearithma,1
5297,16404,,,,lartiatusnui,,1
5298,16405,,,,elevthe,,1
5299,16405,,,,roscaesen,mr-eleutheros,2
5300,16407,,,,creste,creste,2
5301,16409,,,,geracia,mr-geracius,1
5303,16410,,,,vx,,7
5306,16430,,,,------lv,,3
5309,16439,,,,nisiav,dionisiashe-lived,2
5316,16466,,,,athens,,2
5318,16467,,,,----licvla,felicula,2
5320,16469,,,,ravnthu,,2
5323,16474,,,,lsvalcea,mrs-titishe-livedforyears,2
5325,16477,,,,lcais,mr-luciuscaisennius,1
5326,16478,,,,larthalisa,mrs-larthis-sons-wife,2
5327,16482,,,,v----a---lx,,3
5328,16484,,,,aprithn----,of-mraprithna,1
5329,16485,,,,petrui,ms-petrui,1
5330,16485,,,,ramtha,mr-ramthas,2
5333,16488,,,,tusnui,ms-tusnui,1
5334,16493,,,,aninas,of-mr-anina--,1
5336,16499,,,,arnth,mr-arnth,1
5337,16500,,,,ravnthus,,2
5343,16523,,,,venos,,1C
5345,16525,,,,------ia,thegodjupiter,1B
5346,16526,,,,menr----,,1D
5347,16534,,,,broccevs,,2
5349,16540,,,,ikuvini,of-the-town-of-gubbio,4O
5350,16553,,,,ik,of-the-town-of-gubbio,1O
5351,16556,,,,maronatei,within-their-priestly-magistracy,4
5353,16597,,,,afaltrutnisdun,mr-afalathe-divinating-man-ofthunderbolts,1
5354,16597,,,,um,,2
5355,16598,,,,in tvderte,arrange-didset-up-didtoo,6A
5356,16598,,,,utiknos,mrkoisistrutiknos,7A
5358,16600,,,,thaleiviaimakrake,mr-thanaleiviaimathe-greek,1
5359,16603,,,,nu,,1
5360,16605,,,,vechetiauraeiachn,,1
5362,16607,,,,al,mrs-erucis,3
5363,16612,,,,abbthnarfnia,abbthnarfnia,2
5364,16612,,,,asasaiassthn,asasaiassthn,3
5365,16612,,,,tthaelbarpnab,tthaelbarpnab,4
5366,16616,,,,plece,,2
5367,16617,,,,ahatrunie,,05A
5369,16617,,,,afatrunie,,5A
5371,16618,,,,kastur,thegodcastor,1
5372,16618,,,,melakre,meleager,3
5373,16619,,,,suthina,,2O
5374,16622,,,,menele,menelaos,1C
5375,16622,,,,aithra,,1D
5376,16626,,,,nevtlane,,1C
5377,16634,,,,polovces,thegodpollux,1C
5378,16636,,,,urste,orestes,1A
5379,16636,,,,metua,medea,1B
5380,16636,,,,vanth,,1D
5381,16638,,,,menrva,,1B
5382,16640,,,,wenrva,thegoddessminerva,1B
5383,16641,,,,anchas,anchises,1A
5384,16643,,,,velparun,elpenor,1A
5385,16644,,,,cerca,thewitchcirce,1B
5386,16644,,,,uthste,,1C
5389,16648,,,,ferkle,theherohercules,1C
5390,16648,,,,iipiur,theboyshepherd,1D
5392,16650,,,,evzicle,eteocles,1A
5393,16650,,,,fulnice,,1B
5394,16651,,,,aercet,,1D
5399,16655,,,,menerea,thegoddessminerva,1A
5400,16656,,,,senerea,thegoddessminerva,1A
5401,16656,,,,ferse,,1B
5402,16657,,,,thethisi,thegoddessthethis,1A
5403,16658,,,,ferecele,theherohercules,1A
5404,16658,,,,mlacuch,,1B
5405,16659,,,,ferkole,thegoddessminerva,1
5406,16662,,,,thesan,,1
5407,16665,,,,--tu--e,theheroulysses,1A
5409,16665,,,,--lutmsta,clytemnestra,1C
5410,16666,,,,thaina,thegoddessyouth,1B
5411,16666,,,,thanr,thegoddessthansuri,1C
5414,16670,,,,zetun,,1C
5416,16671,,,,theth--s,thegoddessthethis,1D
5417,16673,,,,zipanu,,1B
5419,16675,,,,rans,rans,1A
5420,16675,,,,raitavi,,1B
5421,16678,,,,laran,thegodmars,1A
5422,16678,,,,fuflun--,thegodbacchus,1B
5423,16678,,,,----thlans,thegodvulcan,1C
5424,16679,,,,turan,thegoddessvenus,1B
5425,16679,,,,leinth,theanonymousasexualdivinitydenizenleinth,1C
5426,16679,,,,marisfalna,your-toddler-son-mars,1D
5427,16679,,,,marisfusrnana,your-new-born-baby-son-mars,1E
5428,16679,,,,recial,,1F
5429,16681,,,,----uche,,1A
5430,16682,,,,urusthe,,1B
5431,16683,,,,urfea,,1C
5432,16684,,,,echse,alcestis,1A
5433,16684,,,,lmaile,,1B
5434,16685,,,,st,,1
5436,16689,,,,la----tnisa,,2
5438,16691,,,,vatl,the-town-of-vetuglia,1
5439,16692,,,,vetl,the-town-of-vetuglia,1
5441,16696,,,,pupla,the-town-of-populonia,1B
5442,16699,,,,--upluna,the-town-of-populonia,1B
5443,16701,,,,--up--u,the-town-of-populonia,1B
5444,16724,,,,tla,thetownoftelamone,1B
5445,16725,,,,tla,thetownoftelamone,1B
5446,16730,,,,tlasuna,,1
5450,16754,,,,afnas,,1
5452,16761,,,,etvpaznra,,1
5453,16766,,,,flfllns,thegodbacchus,1B
5454,16767,,,,leiun,thegodfathersaturn,1B
5455,16767,,,,aplu,aplu,1C
5456,16768,,,,kasutru,thegodcastor,1B
5457,16768,,,,chaluchasu,thegodtalos,1C
5458,16768,,,,pulutuke,thegodpollux,1D
5459,16769,,,,euturpa,themuseeuturpe,1B
5461,16771,,,,utuze,,1
5462,16774,,,,fela,,1
5463,16776,,,,--pu,,2
5465,16782,,,,cresmie,,1
5467,16792,,,,akrathe,,1B
5468,16794,,,,leinth,theanonymousasexualdivinitydenizenleinth,1A
5469,16796,,,,puria,perhapstheherdsmanperhapsnamedpuria,1B
5470,16800,,,,tarchnas,,1
5472,16809,,,,ilaun,,1
5473,16810,,,,as,satnas,4
5475,16812,,,,mantheate,,1
5476,16815,,,,larcivechane,,1
5477,16816,,,,ciantipretelial,,2
5478,16818,,,,ellan,skull,1B
5479,16824,,,,tins,of-thegod-jupiter,1
5480,16824,,,,filari,by-these-urns,2
5481,16824,,,,tular,,3
5483,16838,,,,aripa,,1A
5484,16839,,,,arika,,1
5485,16840,,,,el,,1
5486,16845,,,,sni,,1
5489,16859,,,,chl,,1
5490,16860,,,,ar,mr-arnths mr-arnth,1
5491,16863,,,,utt,,1
5495,16869,,,,ateuze,,2
5496,16871,,,,u-l,,1
5497,16877,,,,ap,,1
5498,16879,,,,arusanial,,1
5499,16887,,,,wspe,,2
5500,16888,,,,epias,,1
5502,16897,,,,ssr,,01
5503,16897,,,,nthn,,02
5504,16897,,,,ee,,03
5505,16897,,,,tipii,,04
5506,16897,,,,vaatii,,05
5509,16899,,,,tippe,,2
5511,16934,,,,menrva,thegoddessminerva,2
5512,16934,,,,tusan,thegoddessvenus,3
5513,16934,,,,aplu,thegodapollo,4
5514,16935,,,,uthste,theheroulysses,1B
5515,16935,,,,talmithe,,1D
5516,16936,,,,evrfia,,1B
5517,16940,,,,cusiach,,1
5518,16950,,,,sirtir,,10
5519,16953,,,,peitesa,,1
5522,16999,,,,marisnusta,youronetimelittlesonmarsbecomeayoungadultorbeardedteenagergodmars,1A
5523,16999,,,,laran,,1F
5524,17000,,,,aplun,mr-la-laris,1A
5525,17000,,,,lala,,1B
5526,17001,,,,menrrva,the-goddess-minerva,1A
5527,17001,,,,aplu,,1B
5528,17002,,,,munthuch,themaenadattractiveness,1B
5529,17002,,,,finthial,finthial,1C
5530,17002,,,,zipz,,1E
5532,17003,,,,avun,,1B
5533,17008,,,,ap--u,thegodapollo,1A
5534,17008,,,,fercle,,1C
5535,17011,,,,munthu,themaenadattractiveness,1A
5536,17014,,,,meneructh,meneructh,1A
5537,17014,,,,ferchle,,1B
5538,17015,,,,mirqvrios,thegodmercury,1A
5539,17015,,,,alixentrom,,1B
5540,17016,,,,sesla,thegoddesssemele,1A
5541,17016,,,,fufluns,thegodbacchus,1B
5542,17016,,,,apulu,,1C
5543,17017,,,,menarva,,1B
5544,17018,,,,tuntle,tyndarus,1B
5545,17018,,,,latva,,1C
5546,17019,,,,rathmtr,rhadymanthus,1A
5547,17019,,,,--u--a--,thegoddessvenus,1B
5548,17022,,,,salavisch,thegoddessreflectionofbeauty,1B
5549,17022,,,,reschualc,,1C
5550,17027,,,,evas,thegoddessdawns,1A
5551,17028,,,,achlae,therivergodakheloios,1A
5552,17029,,,,felenaia,helena,1A
5553,17029,,,,fufllns,thegodbacchus,1B
5555,17033,,,,sipna,zipunuthegoddessofbrides,1A
5556,17033,,,,alpnu,theinvisibleguardianangelpersonifyingabridesobediencetoherhusband,1B
5557,17033,,,,thalana,,1D
5558,17034,,,,achuvitr,oneofthedivineloves,1B
5559,17034,,,,alpanu,theinvisibleguardianangelpersonifyingabridesobediencetoherhusband,1C
5560,17034,,,,tipanu,,1D
5561,17035,,,,itinthni,themanfromaegina,1B
5562,17038,,,,thesan,thegoddessthesan,1B
5563,17038,,,,tinthun,tithonus,1C
5564,17038,,,,la--a,,1D
5565,17039,,,,ziumithe,theherodiomedes,1C
5566,17039,,,,cletithe,,1D
5567,17042,,,,atlnta,atalanta,1A
5568,17043,,,,easun,,1
5569,17045,,,,elineei,,1B
5570,17047,,,,tritun,theseagodtriton,1A
5571,17047,,,,alaiva,,1B
5573,17053,,,,fipece,,1A
5575,17056,,,,epn,,1
5576,17057,,,,ths,mr-thanas,1A
5577,17058,,,,evas,thegoddessdawns,1B
5578,17061,,,,puci,,1
5579,17062,,,,sceth,,1
5580,17063,,,,stenule,,1
5583,17079,,,,nvneril,mr-numeriusnerilius,1
5585,17083,,,,tru,,1
5586,17084,,,,mifurtinas,,1
5587,17088,,,,enearcna,mr-ene,1
5588,17088,,,,lisa,,2
5589,17089,,,,----manuithanchviu,,1
5592,17094,,,,ic,,2
5593,17095,,,,ociko,,1
5595,17097,,,,nilai,,2
5596,17101,,,,fau,fau,1
5597,17101,,,,zlrtp,zlrtp,2
5598,17101,,,,srth,,3
5604,17137,,,,caispaizvariens,mr-caisvariensmr-paizvariens,1
5607,17146,,,,------imama------,,2
5608,17152,,,,poloces,thegodpollux,1A
5609,17152,,,,losna,,3A
5610,17153,,,,marsvas,thesatyrmarsyas,1B
5611,17154,,,,------la,thegoddesssemele,1A
5614,17155,,,,ar,,1
5615,17156,,,,hiaco,,1A
5616,17157,,,,to--dofos,,1B
5617,17159,,,,hebae,of-magliano-in-toscana,03
5619,17161,,,,kvri,tothe-goddess-ceres,1A
5620,17180,,,,romanom,,2B
5621,17181,,,,romanom,,3A
5623,17219,,,,(protomes,,1B
5625,17228,,,,poiouefa,oromiorkesiepetenthisecusinfraeliomrufrasimpoiouefa,2
5629,17231,,,,ecwnlii,,3
5630,17253,,,,------------it--t,------------it--t,01B
5631,17253,,,,------------ma,------------ma,03B
5632,17253,,,,------------acro,----------by-a-sacred,08B
5633,17253,,,,------------idil------,being-the-,10B
5637,17261,,,,olpem,-oil-flask,1A
5638,17261,,,,acpluisa,mrs-acupluis-daughtershusband--,1B
5639,17262,,,,----------cnatois,,05
5642,17267,,,,esmen,hic,3
5643,17268,,,,titienom,titiorvm,1
5644,17268,,,,--a------------------------s,,2
5645,17269,,,,a--siesesum,,1
5649,17273,,,,ulugerna,,1
5650,17276,,,,otacila,ms-otacila,2
5651,17276,,,,acai,,3
5652,17278,,,,licnia,ms-licnia,1
5653,17279,,,,cacilia,ms-cacilia,1
5654,17279,,,,cacilia,mr-cacilia,3
5662,17297,,,,riuties,,1
5667,17308,,,,fovrio,mr-fourius,1
5669,17309,,,,aricin,,1
5670,17310,,,,oinomavos,oenomauskingofpisaingreece,1A
5671,17310,,,,melerpanta,,1C
5672,17311,,,,s) micos,mr-micos,1A
5673,17311,,,,aciles,theheroakhilleus,1B
5674,17311,,,,fercles,theherohercules,1D
5676,17311,,,,s) mircvrios,thegodmercury,1G
5677,17311,,,,iacor,thegodbacchus,1H
5678,17312,,,,oinvmama,onebreasttheamazonian,1D
5679,17312,,,,acses,thegodalsesofthesacredgroveontheelysianislandofleukeintheblacksea,1E
5680,17312,,,,alixentr----,alexander,1F
5681,17312,,,,ateleta,atalanta,1G
5682,17312,,,,alsir,thegoddessvenus,1H
5683,17312,,,,felena,helenalabelledsoonthebox,1I
5684,17312,,,,avlena,,1K
5686,17318,,,,acvino,of-the-people-of-,2B
5690,17327,,,,therpaiathei,ex----pagth--andthnethpap,1A
5691,17327,,,,apthp,apthp,3B
5692,17327,,,,zirdu,,4B
5694,17329,,,,poimvniez,the-god-pomonuss,3
5695,17329,,,,atrno,at-this--boundary-stone,4
5696,17329,,,,avnom,a-lamb,5
5697,17330,,,,--irtuna,the-town-of-minturno,1B
5699,17334,,,,erine,to-the-male-fury,4
5701,17335,,,,esos,the- -god,1
5702,17335,,,,novesede,,2
5703,17336,,,,cdimi,ms-cidimi,1
5704,17337,,,,kampano,campanian,2B
